Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Metric TONS
201601,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Cargo,Passenger,8.8715088
200811,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Cargo,Passenger,53.9461944
200709,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Deplaned,Express,Passenger,0.0439992
201608,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Mail,Passenger,19.0235304
201708,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Express,Passenger,6.95142
201707,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Cargo,Freighter,799.9512696
201210,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Cargo,Passenger,508.4161992
201904,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Deplaned,Cargo,Passenger,1.5349824
201407,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Mail,Passenger,1040.448175
202009,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,0.70308
201005,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Freighter,3460.092098
201606,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Mail,Passenger,20.6691912
201001,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Passenger,209.531448
200809,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Freighter,859.6373184
201205,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Cargo,Passenger,504.6259176
201007,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Enplaned,Cargo,Passenger,108.1055808
201105,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Mail,Passenger,22.9585104
201710,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Passenger,173.2171392
202005,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Freighter,274.2796728
201609,Air France,AF,Air France,AF,International,Europe,Deplaned,Mail,Passenger,6.0043032
201608,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Express,Passenger,0.841428
201006,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Express,Passenger,1472.973919
201602,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Express,Passenger,0.0149688
201912,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Freighter,1.97316
201312,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Cargo,Freighter,42.5848752
200507,Northwest Airlines (became Delta),NW,Northwest Airlines (became Delta),NW,Domestic,US,Deplaned,Mail,Freighter,0.161028
200801,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Enplaned,Cargo,Passenger,63.964404
201512,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Express,Passenger,0.80514
200803,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Combi,1050.751699
201804,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Deplaned,Cargo,Passenger,1.0831968
201103,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Deplaned,Express,Passenger,381.4385904
200709,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Express,Passenger,1188.80622
201907,China Southern,CZ,China Southern,CZ,International,Asia,Enplaned,Cargo,Passenger,196.0431984
202001,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Cargo,Passenger,87.2345376
201103,Air China,CA,Air China,CA,International,Asia,Deplaned,Mail,Combi,124.143516
201707,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Cargo,Passenger,258.4857744
201502,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Express,Passenger,3.6523872
201604,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Cargo,Passenger,355.4586504
201112,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Passenger,60.9493248
201107,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Express,Passenger,20.74086
201903,China Eastern,MU,China Eastern,MU,International,Asia,Deplaned,Cargo,Passenger,350.7647976
202001,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Cargo,Passenger,17.02134
200911,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Express,Passenger,1.2188232
202005,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Freighter,1473.839388
201906,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,0.2835
200809,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Freighter,178.9692408
200903,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Cargo,Passenger,83.283228
200905,Emirates,EK,Emirates,EK,International,Middle East,Enplaned,Mail,Passenger,60.462612
201004,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Mail,Passenger,31.5923328
200808,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Enplaned,Mail,Passenger,15.3176184
201407,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Deplaned,Cargo,Freighter,219.9905568
201803,United Airlines,UA,United Airlines,UA,International,Middle East,Enplaned,Mail,Passenger,12.45132
201601,Air France,AF,Air France,AF,International,Europe,Deplaned,Mail,Passenger,246.139236
201611,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Passenger,79.9474536
201607,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Passenger,321.2880552
201908,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Express,Passenger,4.0470192
201111,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Mail,Passenger,155.639232
201812,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,381.9602304
201907,French Bee,BF,French Bee,BF,International,Australia / Oceania,Deplaned,Mail,Passenger,0.7434504
200611,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Mail,Passenger,269.4442968
201208,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Express,Passenger,3.2337144
201404,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,231.4321632
201203,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Mail,Passenger,15.3584424
200810,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Freighter,13.9314168
202005,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Passenger,997.8084144
200710,Southern Air,9S,Southern Air,9S,Domestic,US,Deplaned,Express,Freighter,0.426384
201712,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Cargo,Passenger,0.1605744
200604,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Cargo,Passenger,364.109256
201701,Compass Airlines,CP,American Airlines,AA,Domestic,US,Deplaned,Mail,Passenger,0.5969376
201606,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Mail,Passenger,30.7509048
201704,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Mail,Passenger,14.5963944
200602,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Passenger,28.6049232
201901,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Freighter,365.4673344
200604,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Mail,Passenger,426.0723768
201808,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Deplaned,Cargo,Freighter,8.8229736
201006,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Deplaned,Mail,Passenger,15.3697824
201810,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Cargo,Passenger,337.9292784
201504,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Passenger,190.8326952
201001,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Deplaned,Express,Passenger,1513.327082
200607,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Express,Passenger,1172.019391
201612,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Cargo,Passenger,214.4421216
201604,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Cargo,Passenger,365.95314
201310,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,9.14004
200612,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Deplaned,Mail,Passenger,7.7461272
202008,Air France,AF,Air France,AF,International,Europe,Enplaned,Cargo,Passenger,113.2670952
201010,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Cargo,Passenger,392.3154648
201610,Etihad Airways,EY,Etihad Airways,EY,International,Middle East,Enplaned,Cargo,Passenger,127.1086992
201305,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Cargo,Passenger,147.909888
200712,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Mail,Passenger,2.6113752
201803,Air China,CA,Air China,CA,International,Asia,Deplaned,Mail,Passenger,107.0205696
201801,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Cargo,Passenger,344.257452
200704,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Passenger,284.6734632
201512,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Mail,Passenger,27.6999912
201008,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Passenger,41.2961976
201507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Passenger,29.0018232
201201,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Passenger,20.9717424
201808,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Mail,Passenger,7.584192
200910,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Passenger,109.4155776
201903,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Mail,Passenger,95.702796
201304,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Cargo,Passenger,318.4208496
201002,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Enplaned,Cargo,Passenger,97.1842536
201108,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Cargo,Passenger,13.5934848
201901,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Mail,Passenger,7.6830768
201011,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Mail,Passenger,12.5502048
201904,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Express,Passenger,0.2893968
201702,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Mail,Passenger,12.9620736
200605,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Mail,Passenger,0.3370248
201409,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Mail,Passenger,8.4510216
202011,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Freighter,29.4867216
200903,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Mail,Passenger,22.627836
200610,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Enplaned,Mail,Passenger,13.043268
202006,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Cargo,Passenger,495.485424
200605,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Mail,Freighter,75.6133056
201507,US Airways,US,US Airways,US,Domestic,US,Enplaned,Mail,Passenger,126.6555528
201810,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Cargo,Passenger,438.102756
200703,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Mail,Passenger,271.039608
201509,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Mail,Freighter,25.5381336
201201,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Freighter,579.1737168
201711,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Cargo,Passenger,6.0587352
200701,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,80.41194
200711,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Cargo,Passenger,29.4785568
200806,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Mail,Passenger,1.9055736
200707,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,1383.324415
201505,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Cargo,Passenger,149.5210752
200606,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Cargo,Passenger,227.1724056
201210,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Freighter,504.0983808
200706,Northwest Airlines (became Delta),NW,Northwest Airlines (became Delta),NW,International,Asia,Deplaned,Mail,Passenger,94.8559248
201407,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Enplaned,Cargo,Freighter,366.5500776
201212,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Cargo,Passenger,60.3102024
201509,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Mail,Passenger,5.1991632
200902,Northwest Airlines (became Delta),NW,Northwest Airlines (became Delta),NW,International,Asia,Deplaned,Cargo,Passenger,196.755804
200905,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Express,Passenger,0.0371952
200901,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Freighter,328.8069288
201902,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Cargo,Passenger,15.1733736
201809,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Mail,Passenger,40.4955936
202005,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,0.0009072
200511,Air France,AF,Air France,AF,International,Europe,Deplaned,Mail,Passenger,6.8407416
201306,Federal Express,FX,Federal Express,FX,Domestic,US,Deplaned,Cargo,Freighter,1789.428413
200606,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Combi,893.6269272
201907,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Deplaned,Mail,Passenger,2.376864
201805,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Mail,Passenger,17.1306576
201702,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Express,Passenger,0.1378944
201604,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Cargo,Passenger,7.588728
201908,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Enplaned,Cargo,Passenger,0.7039872
200701,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Enplaned,Cargo,Passenger,0.190512
201211,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Freighter,526.4304696
201003,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,6.3281736
201104,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Passenger,259.3852632
201410,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Mail,Passenger,12.4018776
200901,Ameriflight,A8,Ameriflight,A8,Domestic,US,Deplaned,Cargo,Freighter,31.8318336
200909,Northwest Airlines (became Delta),NW,Northwest Airlines (became Delta),NW,International,Asia,Deplaned,Mail,Passenger,59.12676
200802,Air France,AF,Air France,AF,International,Europe,Deplaned,Cargo,Passenger,250.0420104
201501,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Mail,Passenger,65.9924496
201810,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Freighter,0.4549608
201705,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Express,Passenger,0.3869208
201312,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Passenger,111.3941808
200910,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Cargo,Passenger,26.7333696
200905,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Passenger,17.2440576
201607,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Cargo,Passenger,1228.824173
202008,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Mail,Passenger,8.0532144
201206,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Freighter,42.1798104
201605,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,31.0997232
201408,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Deplaned,Cargo,Passenger,7.2657648
201901,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Freighter,435.58074
201307,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Cargo,Passenger,50.113728
201404,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Mail,Passenger,0.3937248
201801,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Passenger,666.0304056
201503,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Mail,Passenger,16.7142528
200606,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Express,Passenger,2.2856904
200806,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Cargo,Passenger,468.471276
201401,Emirates,EK,Emirates,EK,International,Middle East,Enplaned,Cargo,Passenger,69.0928056
201908,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Deplaned,Cargo,Passenger,44.2967616
200611,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Passenger,574.8967224
201211,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Cargo,Passenger,600.378156
201001,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Mail,Passenger,1.1829888
201604,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Mail,Passenger,25.0713792
201709,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,39.3185016
200812,Emirates,EK,Emirates,EK,International,Middle East,Enplaned,Cargo,Passenger,19.0072008
200704,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Cargo,Passenger,0.580608
202008,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,2.4376464
201111,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Mail,Passenger,6.4647072
201704,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Cargo,Passenger,3150.419832
200804,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Cargo,Combi,8.316756
201907,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Freighter,567.122472
201504,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,5.3134704
200509,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Cargo,Passenger,303.4638432
201308,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Mail,Passenger,10.577952
200807,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Cargo,Passenger,646.0384392
201101,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,5.8614192
201203,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Freighter,422.3546712
200710,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Cargo,Passenger,156.0447504
201910,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Express,Passenger,3.2287248
